company,company_name,year,world_rank,eu_rank,rnd_22,rnd_euro,rnd_org,profit_22,profit_euro,profit_org,netsales_22,netsales_euro,netsales_org,capex_22,capex_euro,capex_org,mcap_22,mcap_euro,mcap_org,emp,ex_rate_euro,currency,icb3_short,icb3_name,icb4_name,nace_rev2,country,iso2,region
SYNEKTIK,SYNEKTIK S.A.,2022,13195.0,1058.0,2.177442,2.177442,10.1921705136,3.727615,3.727615,17.448220292,35.540468,35.540468,166.3578226144,2.177229,2.177229,10.1911735032,47.596419,47.596419,222.7893180552,145.0,4.6808,PLN,ICT services,Software & Computer Services,Software,5829.0,Poland,PL,EU
SYNEOS HEALTH UK,SYNEOS HEALTH UK LIMITED,2022,1124.0,,148.992179,148.992179,132.14563332047,74.03842,74.03842,65.6668958506,1132.860125,1132.860125,1004.76763066625,2.777699,2.777699,2.46362457407,,,,1189.0,0.88693,GBP,Health industries,Pharmaceuticals & Biotechnology,Biotechnology,8299.0,UK,GB,ROW
SYNGENTA,SYNGENTA AG,2022,149.0,,1543.222114,1543.222114,1646.0007067924,2560.473629,2560.473629,2731.0011726914,18716.490317,18716.490317,19963.0085721122,660.979095,660.979095,705.000302727,,,,,1.0666,USD,Chemicals,Chemicals,Specialty Chemicals,6499.0,Switzerland,CH,ROW
SYNOPSYS,SYNOPSYS INC,2022,147.0,,1577.791789,1577.791789,1682.8727221474,1100.783334,1100.783334,1174.0955040444,4764.245435,4764.245435,5081.544180971,128.060246,128.060246,136.5890583836,49606.604435,49606.604435,52910.404290371,19000.0,1.0666,USD,ICT services,Software & Computer Services,Software,5829.0,US,US,US
SYNTEGON,SYNTEGON HOLDING GMBH,2022,2451.0,358.0,55.386,55.386,55.386,,,,1444.833,1444.833,1444.833,24.771,24.771,24.771,,,,5590.0,1.0,EUR,Industrials,Industrial Engineering,Industrial Machinery,6420.0,Germany,DE,EU
SYROS PHARMACEUTICALS,"SYROS PHARMACEUTICALS, INC.",2022,1654.0,,91.003226,91.003226,97.0640408516,-118.472767,-118.472767,-126.3630532822,13.950877,13.950877,14.8800054082,1.16351,1.16351,1.240999766,,,,118.0,1.0666,USD,Health industries,Pharmaceuticals & Biotechnology,Biotechnology,7211.0,US,US,US
SYSMEX,SYSMEX CORPORATION,2022,801.0,,224.16601,224.16601,31531.1909666,522.410843,522.410843,73482.30917638,2901.393476,2901.393476,408110.00633416,123.582503,123.582503,17383.11487198,12748.828646,12748.828646,1793250.23734636,9500.0,140.66,JPY,Health industries,Health Care Equipment & Services,Health Care Equipment & Services,3250.0,Japan,JP,Japan
SYSTEMAIR,SYSTEMAIR AB,2022,4444.0,548.0,21.471434,21.471434,238.8009946612,129.134314,129.134314,1436.2060134452,1084.172572,1084.172572,12057.9505112696,29.28495,29.28495,325.70135691,1036.095649,1036.095649,11523.2485890482,6587.0,11.1218,SEK,Industrials,Industrial Engineering,Industrial Machinery,2825.0,Sweden,SE,EU
T&W MEDICAL,T&W MEDICAL A/S,2022,962.0,170.0,179.639865,179.639865,1335.8918560725,70.39559,70.39559,523.496805035,2352.342281,2352.342281,17493.1933726565,57.325005,57.325005,426.2973996825,,,,12111.0,7.4365,DKK,Health industries,Health Care Equipment & Services,Medical Equipment,7010.0,Denmark,DK,EU
TADANO,TADANO LTD,2022,2542.0,,52.281371,52.281371,7353.89764486,45.234659,45.234659,6362.70713494,1363.627086,1363.627086,191807.78591676,26.773264,26.773264,3765.92731424,875.024481,875.024481,123080.94349746,4651.0,140.66,JPY,Automobiles & Parts,Automobiles & Parts,Commercial Vehicles & Trucks,2822.0,Japan,JP,Japan
